Classes,Dimension 1,Dimension 2,Dimension 3,Dimension 4,Dimension 5,Dimension 6,Dimension 7,Dimension 8,Dimension 9,Dimension 10,Dimension 11,Dimension 12,Dimension 13,Dimension 14,Dimension 15,Dimension 16,Dimension 17,Dimension 18,Dimension 19,Dimension 20,Dimension 21,Dimension 22,Dimension 23,Dimension 24,Dimension 25,Dimension 26,Dimension 27,Dimension 28,Dimension 29,Dimension 30,Dimension 31,Dimension 32,Dimension 33,Dimension 34,Dimension 35,Dimension 36,Dimension 37,Dimension 38,Dimension 39,Dimension 40,Dimension 41,Dimension 42,Dimension 43,Dimension 44,Dimension 45,Dimension 46,Dimension 47,Dimension 48,Dimension 49,Dimension 50,Dimension 51,Dimension 52,Dimension 53,Dimension 54,Dimension 55,Dimension 56,Dimension 57,Dimension 58,Dimension 59,Dimension 60,Dimension 61,Dimension 62,Dimension 63,Dimension 64,Dimension 65,Dimension 66,Dimension 67,Dimension 68,Dimension 69,Dimension 70,Dimension 71,Dimension 72,Dimension 73,Dimension 74,Dimension 75,Dimension 76,Dimension 77,Dimension 78,Dimension 79,Dimension 80
Motorbikes,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,6,1,2,2,3,1,2,5,3,2,0,0,1,0,1,0,2,1,1,0,6,4,6,6,2,3,5,1,4,3,2,2,4,2,0,1,0,0,0,0,4,1,1,1,0,4,0,0,1,1,1,0,0,1
BACKGROUND_Google,0,0,1,0,1,2,0,0,1,2,0,0,0,0,0,1,1,0,0,0,5,0,0,1,2,5,2,5,2,4,4,2,7,2,4,6,2,7,2,4,6,2,6,6,4,5,3,5,4,5,4,3,7,4,4,5,2,7,7,4,0,5,0,3,3,0,5,2,3,2,1,4,2,5,2,1,5,2,3,3
nautilus,4,2,3,2,4,1,1,2,2,2,2,1,2,0,4,1,0,2,3,1,4,3,6,3,5,1,3,6,6,4,5,2,5,5,5,2,2,3,5,3,5,2,7,4,5,4,1,7,5,4,4,5,3,7,4,2,3,5,5,2,3,1,5,5,4,3,2,5,7,4,2,4,3,6,5,2,1,4,5,3
soccer_ball,1,4,5,3,7,1,3,6,3,5,1,2,3,2,6,1,2,3,4,7,4,1,5,2,7,1,3,6,3,3,0,1,5,0,3,3,1,0,5,5,2,3,6,4,7,2,1,2,1,2,0,1,3,2,2,3,2,6,2,5,1,2,6,5,7,2,5,4,4,4,0,4,4,2,2,1,3,5,1,6
cannon,1,4,2,5,6,5,1,2,5,7,3,2,5,6,6,3,2,6,2,7,1,4,1,5,3,1,6,5,5,3,0,7,2,1,3,2,5,6,1,5,4,2,5,4,5,3,1,5,3,4,5,1,3,5,5,4,4,4,4,5,4,3,3,4,3,1,2,2,4,3,2,1,2,3,2,1,5,3,4,2
butterfly,1,1,4,1,1,1,1,1,3,2,0,0,1,1,2,0,1,0,2,1,2,2,5,7,3,5,2,4,6,5,4,4,6,5,6,2,2,4,1,6,1,1,0,3,2,4,2,6,6,6,5,1,5,6,6,1,1,2,1,3,0,0,0,0,0,2,2,3,4,3,3,1,2,4,4,0,0,0,0,0
pigeon,5,2,7,5,3,5,2,6,5,4,4,3,6,4,2,0,4,2,1,0,4,4,4,6,5,4,4,3,6,4,0,2,5,4,6,2,4,5,4,2,3,3,6,7,6,1,5,3,6,6,2,4,5,6,6,2,5,1,5,5,2,5,6,6,4,1,5,4,1,4,0,6,2,3,2,1,6,2,6,2
Faces,7,0,1,0,0,5,2,3,1,2,5,5,4,3,2,2,0,0,0,0,7,0,0,0,0,6,0,3,2,2,4,3,6,6,3,4,0,0,1,0,6,0,1,1,2,7,0,2,2,2,5,1,4,5,5,5,0,0,0,0,5,0,0,1,1,6,0,4,1,3,4,1,5,6,5,3,1,1,5,1
chandelier,5,4,2,3,0,0,4,0,3,1,1,4,0,4,3,3,5,1,2,0,5,0,0,0,0,5,1,2,7,3,5,1,3,6,4,4,0,0,2,0,6,0,0,0,1,3,2,5,7,4,3,2,5,7,6,5,1,2,3,4,5,5,0,3,1,1,6,4,4,4,1,6,3,3,4,5,6,3,5,2
crab,0,4,4,4,0,2,4,7,1,0,2,4,4,6,1,0,3,3,3,3,4,4,3,5,2,1,5,6,6,4,2,4,4,5,5,3,4,5,5,4,1,4,4,7,3,2,4,6,5,5,3,4,5,4,4,1,4,5,3,4,3,3,5,4,3,4,4,6,5,2,6,2,6,4,2,1,3,1,1,1
BACKGROUND_Google,0,1,4,1,1,1,3,5,4,4,0,3,6,5,5,1,0,1,4,1,2,3,2,4,5,3,4,5,4,6,2,3,6,4,5,1,2,5,5,6,4,2,4,6,4,2,2,4,4,6,1,1,2,5,6,3,2,4,6,5,0,0,2,0,3,3,2,4,3,4,3,3,5,2,4,0,0,2,1,2
crayfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,6,0,5,5,5,5,0,4,3,4,4,1,4,3,4,3,2,4,3,5,7,2,5,3,6,6,3,4,4,6,6,2,3,3,7,6,2,3,6,6,6,2,3,5,3,7,1,2,5,7,7,3,4,3,7,5
lamp,2,1,2,4,5,3,4,6,4,5,3,3,5,6,4,4,3,1,1,3,3,3,6,3,3,2,5,2,5,4,3,5,3,6,4,3,4,2,6,5,2,2,5,1,2,0,3,5,3,2,6,2,4,5,3,1,3,1,3,2,0,3,3,2,1,0,5,3,4,2,3,5,4,6,3,1,1,2,4,2
dalmatian,2,2,3,1,3,0,2,2,4,3,2,1,1,4,3,1,0,2,3,3,4,0,3,2,3,2,1,5,1,3,5,0,6,5,2,3,2,2,2,4,4,1,3,3,3,4,1,7,1,4,3,1,6,4,5,4,0,2,5,5,4,2,4,6,3,4,4,4,4,5,2,2,5,4,3,4,0,3,6,5
dolphin,1,0,7,0,2,0,5,7,1,5,2,5,4,7,3,0,1,0,4,1,6,0,7,0,3,2,4,7,1,2,0,7,0,7,2,3,1,0,7,6,6,1,6,1,2,3,3,6,3,6,2,5,2,6,5,5,1,2,7,4,4,1,6,5,4,5,1,4,6,5,3,2,6,6,5,6,1,4,4,4
windsor_chair,0,0,0,0,0,5,0,0,0,1,4,1,1,0,1,1,0,0,0,1,1,0,1,1,2,5,2,3,2,1,6,1,3,2,2,3,0,1,1,1,1,1,3,1,2,1,4,3,4,3,1,5,3,5,2,2,0,1,2,1,0,0,0,0,0,1,0,2,0,0,1,0,0,1,1,1,0,1,0,1
ketch,4,5,3,3,4,0,1,2,0,1,2,2,2,3,1,2,2,2,0,0,1,6,4,3,1,5,2,7,0,3,5,1,2,1,3,2,0,3,1,1,3,4,7,2,3,2,4,6,1,3,2,3,3,4,3,5,2,2,3,3,2,5,6,5,4,0,6,5,3,4,0,6,4,5,4,1,6,6,5,4
Motorbikes,1,1,0,1,1,0,2,2,1,2,1,2,1,1,2,0,1,1,1,1,2,2,1,3,2,0,6,4,2,4,3,3,6,3,6,1,2,1,2,3,4,1,2,3,3,1,6,6,6,4,4,3,6,6,6,4,1,4,3,4,1,1,0,3,1,0,5,1,1,2,0,5,2,0,2,1,2,3,1,1
watch,2,4,4,4,4,1,4,4,1,2,0,6,2,2,0,3,2,3,0,0,3,0,0,0,0,3,0,0,0,1,0,3,2,1,2,2,1,0,1,1,3,3,2,3,2,2,5,1,1,2,4,2,5,6,6,6,1,0,4,3,2,3,2,4,1,1,6,2,0,1,1,2,3,5,3,4,4,2,0,3
revolver,0,0,0,0,0,2,4,5,1,3,0,7,1,1,2,1,7,1,0,0,1,3,6,1,1,2,5,5,4,3,2,0,6,0,3,0,0,0,0,0,5,0,6,0,4,1,2,2,2,2,1,0,1,0,0,0,0,0,0,0,4,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accordion,0,0,4,0,2,0,0,6,1,7,3,0,1,5,6,1,0,0,7,3,2,1,7,3,7,0,2,1,7,7,0,0,1,2,5,2,1,0,7,6,3,0,6,5,7,0,2,6,4,7,0,1,1,6,7,0,0,7,1,5,0,0,1,3,6,2,1,2,5,7,3,1,7,3,7,1,0,6,0,4
minaret,0,0,0,0,0,0,0,1,0,1,0,1,2,0,2,1,1,2,3,5,0,1,3,1,4,1,2,5,1,5,2,2,3,1,7,1,1,3,3,4,2,2,3,2,6,0,1,4,2,4,0,2,5,0,4,0,1,6,1,5,0,2,7,1,6,0,1,6,0,6,0,0,4,0,3,0,0,0,0,0
crayfish,3,3,4,1,1,1,3,1,1,1,0,4,0,0,1,0,4,0,0,0,4,0,2,4,2,1,2,4,3,3,1,6,3,3,4,0,3,1,1,2,6,4,2,3,3,3,5,3,6,5,2,6,4,4,5,1,2,0,5,5,2,2,1,1,1,0,3,0,0,1,0,4,1,0,1,0,2,0,0,0
elephant,0,1,0,7,1,2,0,4,0,0,0,2,7,0,0,0,3,5,2,0,2,3,5,7,5,3,3,4,6,4,2,3,1,4,7,2,1,1,6,4,4,1,3,7,5,4,2,5,3,4,4,1,3,7,4,5,2,2,5,3,6,2,5,6,4,3,2,5,7,4,4,2,5,4,4,4,1,2,6,6
trilobite,0,0,3,0,1,0,2,6,1,4,1,5,3,2,4,0,0,0,7,4,2,1,5,3,5,2,2,3,4,7,3,2,6,5,6,5,1,5,5,4,3,1,3,6,6,0,2,5,4,7,1,1,3,6,7,1,1,5,6,6,0,1,3,6,2,1,1,1,3,4,0,1,5,3,3,0,0,3,0,1
Faces,0,0,0,0,1,4,4,4,1,3,5,3,4,4,3,3,2,2,4,3,5,0,5,2,2,2,4,7,4,3,3,4,4,7,4,5,2,1,4,2,3,1,1,4,1,6,3,5,5,3,6,2,6,4,2,3,2,3,0,2,2,1,2,3,1,2,3,4,7,1,3,2,7,2,2,1,1,1,5,3
electric_guitar,0,5,6,2,1,0,5,4,4,2,0,7,5,1,0,0,1,2,3,1,6,2,2,4,2,4,3,5,5,3,4,6,3,4,4,3,3,3,3,3,0,1,1,3,2,4,0,1,0,2,1,5,4,5,6,3,4,2,0,5,0,0,0,0,0,1,1,1,1,1,0,6,2,1,1,2,1,2,1,1
scorpion,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,2,2,3,2,2,4,2,4,0,0,0,1,0,3,0,3,0,1,2,0,2,4,2,3,5,5,7,4,0,3,4,5,4,0,1,2,0,1,3,2,0,0,2,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0
emu,2,7,5,2,2,3,1,2,0,2,0,0,0,0,0,0,0,0,0,0,2,6,5,5,4,3,6,4,3,4,1,5,3,3,3,0,0,1,3,3,6,3,6,5,2,2,5,5,6,3,6,2,7,3,4,4,2,2,7,4,4,5,5,3,4,0,6,6,5,4,1,5,6,1,4,1,1,4,3,2
panda,2,3,5,6,1,6,1,5,5,3,5,4,3,7,1,4,1,4,7,2,4,2,7,3,2,4,3,6,5,4,4,2,5,5,4,6,0,4,4,1,6,1,6,4,2,6,1,4,6,4,3,1,5,2,2,5,2,5,2,3,5,1,6,4,5,3,3,4,4,4,2,3,6,5,2,4,1,6,6,1
dollar_bill,4,4,3,3,4,2,5,4,2,5,1,6,2,3,5,4,4,2,4,4,4,1,3,2,4,3,2,5,3,4,2,3,3,2,5,3,2,4,3,4,4,1,2,4,5,4,2,4,6,3,4,2,4,2,4,4,0,3,2,5,2,5,3,3,4,1,6,2,4,4,1,6,3,3,5,3,5,3,2,4
panda,2,1,3,1,2,0,3,3,1,3,0,3,1,1,2,4,1,0,1,1,2,0,2,2,1,0,2,3,4,3,3,2,3,2,4,4,0,1,0,0,3,1,3,2,4,0,2,3,2,3,0,1,3,2,5,4,1,1,2,2,3,3,3,3,4,2,3,3,3,6,2,3,4,4,4,4,2,5,1,3
minaret,1,0,5,1,6,0,0,2,3,2,0,0,0,0,0,0,0,0,2,1,3,2,3,4,5,0,1,5,4,3,0,0,0,0,0,0,0,0,2,1,0,0,2,6,3,0,1,6,6,4,0,0,0,0,1,1,0,2,2,4,0,0,0,2,1,2,2,3,6,6,0,0,5,2,3,0,0,3,0,2
Faces,0,0,0,0,1,2,3,4,5,3,3,3,5,6,5,5,4,4,3,3,4,0,0,1,3,1,5,7,5,2,3,2,3,7,2,3,3,1,2,1,3,0,1,1,2,6,2,5,7,2,4,2,7,5,3,1,0,2,1,1,0,1,4,0,3,3,3,3,7,3,2,3,7,3,2,1,3,1,4,3
ketch,0,0,0,0,0,0,0,1,0,0,3,0,0,5,3,0,0,0,1,0,0,0,0,0,0,4,0,4,0,2,3,0,0,4,1,1,0,0,0,0,1,4,1,1,3,2,3,1,5,3,2,3,2,4,2,2,3,1,2,1,2,6,4,5,3,0,7,4,3,3,0,6,4,3,5,0,6,3,5,4
Motorbikes,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0,5,2,1,2,2,4,3,5,4,2,2,3,1,1,1,3,4,1,2,1,6,5,1,4,4,4,4,5,6,3,1,4,4,3,1,0,2,0,2,0,1,3,1,5,1,1,1,5,4,1,0,1,3,2
yin_yang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,4,6,2,2,1,2,6,2,3,0,5,0,2,0,0,0,0,0,2,1,2,6,4,3,1,4,1,3,0,0,1,3,2,0,0,0,0,0,1,0,1,0,2,4,0,2,0,1,0,0,0,0,0
windsor_chair,3,2,4,4,6,3,1,2,1,4,5,2,5,1,6,4,2,0,6,4,1,3,4,3,5,5,2,4,3,6,7,1,4,4,5,3,1,5,2,6,3,0,6,5,7,0,3,2,6,5,3,1,6,5,6,1,2,1,1,7,3,1,2,1,6,1,2,0,2,6,2,1,3,2,4,1,1,3,4,5
barrel,2,2,3,1,5,1,6,2,3,3,0,5,5,5,3,1,2,4,3,3,5,2,4,5,4,4,3,3,5,5,4,4,4,6,5,6,1,4,4,4,5,1,2,4,4,4,4,2,2,6,4,4,7,4,4,4,1,6,3,4,2,0,0,2,3,2,4,4,6,4,2,4,5,4,4,2,1,5,0,3
nautilus,0,0,0,0,0,3,1,3,1,3,0,1,0,2,2,0,0,0,0,0,1,0,1,1,1,4,1,6,4,7,3,2,7,4,6,3,0,3,3,3,1,0,0,1,0,3,1,2,7,3,3,2,5,1,6,2,1,5,2,3,0,0,0,0,0,0,2,0,6,1,1,5,3,0,1,0,0,2,0,0
accordion,0,0,5,2,1,5,1,5,2,6,6,1,1,4,7,6,0,0,3,5,3,2,5,6,3,2,1,4,5,7,6,0,1,1,7,7,0,2,4,5,5,4,6,1,4,2,2,4,7,7,3,1,2,4,7,6,2,4,2,6,1,1,4,6,4,1,5,1,6,6,2,2,5,5,7,0,1,2,1,3
Faces,6,0,1,1,0,0,3,6,0,2,1,5,3,6,1,5,1,3,7,1,6,0,1,1,1,6,4,7,1,1,6,3,3,7,0,7,0,1,3,2,6,1,2,1,2,6,3,5,4,2,6,2,5,6,2,7,0,2,1,3,3,1,0,1,1,3,3,3,7,2,3,3,7,5,2,5,2,3,1,2
Motorbikes,1,1,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,0,0,0,2,1,0,1,2,1,3,1,4,3,1,4,3,3,5,2,1,0,1,2,3,1,0,5,2,2,5,5,4,6,2,4,2,2,4,3,1,2,3,5,1,3,0,2,0,0,5,0,0,0,0,6,0,0,0,1,4,0,1,1
windsor_chair,4,3,5,2,6,6,2,4,4,3,6,4,2,3,3,3,3,6,5,6,4,3,5,5,7,7,1,4,5,4,7,1,3,3,4,2,2,6,3,7,3,3,6,6,6,4,4,6,5,3,4,3,4,5,4,3,2,5,3,7,5,1,4,4,7,2,3,4,5,7,4,2,5,6,6,2,1,6,6,7
beaver,1,4,3,3,3,1,1,3,2,2,0,0,0,1,1,0,0,0,0,0,1,2,1,2,3,1,1,3,1,1,0,0,0,1,3,0,0,0,0,1,0,0,2,0,2,1,1,1,1,3,1,1,1,3,4,2,0,1,2,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,3,3,4,5,6
BACKGROUND_Google,1,3,4,3,3,2,1,1,4,3,0,3,2,1,2,2,0,2,0,1,6,2,2,6,3,3,2,5,6,5,1,5,4,5,3,3,4,6,3,2,5,2,4,4,3,3,4,6,5,2,2,3,5,3,2,1,4,2,6,2,1,5,4,5,2,0,4,2,0,0,0,3,0,0,0,0,3,0,0,1
wheelchair,2,1,4,3,4,3,1,4,3,4,2,2,4,5,3,3,1,1,2,1,3,2,4,3,6,4,2,4,7,4,3,2,5,6,5,1,3,3,5,5,6,1,3,5,6,6,1,4,3,6,5,2,4,6,6,4,3,2,6,5,2,3,5,5,6,3,2,6,5,6,2,2,4,4,7,1,2,5,5,6
brontosaurus,3,3,5,5,3,2,3,5,4,2,4,2,6,6,4,1,4,5,4,5,0,6,3,3,4,1,3,6,2,3,3,1,7,3,6,3,2,4,7,6,1,5,0,5,5,3,5,4,4,3,5,2,6,6,4,1,6,4,2,6,2,6,5,3,5,2,3,5,5,7,0,4,5,6,6,2,4,6,4,6
helicopter,1,3,3,5,2,0,2,3,2,1,1,4,1,2,1,2,2,2,4,2,3,2,5,6,4,3,3,5,2,4,4,4,4,5,2,4,1,7,6,5,3,2,6,7,6,1,5,5,5,4,1,6,4,6,3,3,5,5,4,4,2,3,6,4,7,2,3,6,5,7,3,2,5,7,6,3,3,5,6,6
barrel,0,4,4,3,7,4,2,3,4,4,2,3,5,3,3,6,1,2,7,1,4,4,6,4,4,2,6,6,4,3,1,0,1,2,2,6,0,3,4,4,5,2,3,6,4,4,4,5,4,5,1,5,2,3,4,3,3,4,5,2,2,6,3,7,4,1,6,4,4,3,2,3,5,4,7,4,2,6,3,5
stop_sign,0,0,3,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,3,1,2,1,2,2,2,2,1,1,0,1,3,1,1,1,1,3,1,1,2,2,1,0,1,3,2,3,0,0,0,0,3,1,1,2,1,2,0,2,0,0,0,0,0,3,1,0,1,0,1,0,0,1,1,0,0,0,0,3,0,0
ibis,5,0,3,7,6,6,1,6,5,4,4,3,3,6,6,4,3,5,6,6,3,1,6,7,6,4,1,3,6,7,4,2,6,7,4,2,5,5,6,6,2,5,5,5,5,1,4,7,6,5,3,2,6,7,4,2,5,3,6,6,1,3,4,6,7,0,3,5,6,6,3,5,5,3,5,2,4,5,5,6
bonsai,3,3,4,6,2,2,3,5,7,4,3,4,5,5,5,3,2,2,6,4,2,1,0,6,4,2,3,4,6,5,3,3,4,7,5,5,2,5,5,6,2,3,6,3,6,1,2,2,4,6,4,2,4,4,7,2,2,5,5,7,2,1,5,6,7,1,3,3,6,7,1,6,4,3,5,1,4,5,6,7
Leopards,4,4,3,6,5,3,5,1,6,5,6,3,4,5,4,6,3,4,4,4,3,3,4,4,7,2,2,6,5,7,4,2,4,5,7,4,3,5,6,5,4,3,5,6,6,3,3,3,5,7,5,1,5,4,7,4,3,4,4,6,4,3,5,4,6,2,4,3,4,7,1,3,5,6,7,4,3,2,6,7
chandelier,0,0,0,0,0,0,0,1,0,1,1,0,2,2,1,0,0,0,0,1,0,0,1,0,0,4,0,0,1,1,5,0,0,0,1,3,0,1,1,1,3,1,0,1,1,3,2,2,6,3,6,2,3,2,4,3,1,2,0,1,0,0,0,0,0,1,1,0,3,3,2,2,5,4,2,0,1,1,0,1
airplanes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,5,1,4,3,3,3,1,4,0,0,2,1,1,3,4,1,0,6,5,3,2,0,7,2,4,3,1,6,4,3,2,2,4,2,5,4,1,6,3,1,4,0,6,2,4,4,0,7,2,3,3,0,5,3,4,2
Faces,7,0,4,2,4,6,2,5,3,3,6,3,3,5,3,7,0,2,4,3,5,3,5,4,2,2,3,7,6,3,4,2,3,7,4,6,2,2,5,3,7,2,2,3,2,4,2,6,6,5,6,3,5,3,3,7,2,4,3,3,5,1,1,1,4,1,5,3,7,3,2,3,7,5,4,7,0,2,5,2
watch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,1,1,1,4,1,3,1,1,2,2,2,0,2,0,1,0,1,0,1,2,2,2,2,1,3,3,4,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leopards,5,3,2,2,1,5,3,4,1,3,2,3,4,2,0,4,2,4,4,0,5,1,4,6,4,3,2,5,6,6,3,1,3,5,4,4,1,4,5,3,6,1,3,5,5,5,1,4,5,7,3,1,2,2,7,5,1,2,5,6,4,4,1,5,6,2,5,4,6,6,3,3,3,6,7,5,2,4,6,6
ketch,3,4,5,5,6,1,3,5,4,7,3,3,5,7,6,2,4,6,6,5,4,2,6,5,6,3,2,7,4,6,4,3,2,6,4,2,3,5,6,6,2,4,5,3,3,4,3,5,4,6,4,2,4,2,4,2,3,6,6,5,1,3,2,4,1,0,6,1,2,1,0,6,4,4,2,0,4,1,1,2
strawberry,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,4,2,5,1,2,6,5,7,1,0,3,1,4,0,0,0,0,0,2,1,1,1,4,3,1,4,3,6,3,3,5,5,7,0,0,1,1,1,1,1,1,2,2,1,1,3,4,4,4,2,4,4,6,0,0,1,0,1
ferry,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,4,1,1,2,1,4,2,4,1,1,3,3,3,2,0,2,1,1,1,0,7,3,1,2,0,7,3,3,1,0,7,3,6,2,1,6,3,2,2,1,4,4,3,6,2,6,4,4,5,1,3,3,6,7,0,4,4,6,6
minaret,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,3,0,3,1,1,3,1,5,0,2,4,2,4,1,1,3,3,4,0,1,3,1,3,0,0,1,0,1,0,0,1,0,2,0,0,1,0,1,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
airplanes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,6,3,4,3,0,7,1,4,2,0,7,2,1,3,1,5,1,2,3,0,3,2,1,2,0,2,1,2,3,0,3,1,2,2,1,4,1,1,1
Leopards,4,3,4,6,5,2,5,4,3,6,5,3,4,4,5,3,4,2,5,6,4,3,6,5,6,4,2,4,4,7,5,2,5,1,7,4,4,3,4,6,5,2,4,5,7,3,2,2,3,7,4,1,6,5,7,4,2,4,4,7,4,3,4,5,7,4,3,4,5,6,1,3,6,6,7,3,2,5,5,7
Faces,4,3,2,1,0,2,4,5,3,4,3,2,3,6,4,1,4,0,4,1,6,1,1,2,0,4,3,7,2,2,4,3,4,6,3,3,1,3,2,2,3,4,1,1,2,5,2,4,6,4,6,1,7,5,3,2,3,4,2,0,2,3,5,2,3,4,2,3,5,3,4,1,5,4,3,4,3,2,2,3
Faces,0,2,1,0,1,1,5,2,1,4,1,4,3,5,3,0,4,0,3,2,6,2,3,4,4,5,2,4,3,4,4,2,5,6,5,4,2,6,6,4,2,2,2,2,1,6,2,3,4,4,6,2,5,4,3,6,3,5,2,2,5,3,4,3,2,2,3,1,7,4,5,4,6,2,2,2,3,5,5,3
Motorbikes,4,4,4,6,3,5,5,4,4,2,4,3,5,6,3,5,4,6,5,2,5,3,3,3,3,4,4,7,5,3,1,4,6,6,5,6,2,6,5,2,4,5,2,4,5,2,4,6,6,5,4,3,4,7,5,4,6,4,5,4,3,4,3,3,6,0,6,4,3,4,1,5,5,4,5,1,4,4,5,6
airplanes,1,1,0,1,0,0,2,3,3,0,1,0,2,1,0,0,0,0,1,0,3,0,0,1,3,0,1,1,3,2,1,3,0,0,1,0,1,0,0,0,1,1,1,2,1,1,7,2,5,4,2,7,4,4,3,0,4,2,1,2,1,0,0,0,0,0,2,1,2,0,1,4,0,5,2,0,2,2,1,2
gerenuk,2,3,7,6,5,3,2,7,3,5,2,3,4,7,5,3,3,7,6,3,3,4,5,5,6,2,4,5,5,5,4,2,5,5,5,3,1,5,5,5,2,3,4,6,6,1,3,6,5,6,3,3,2,4,7,1,3,7,5,7,1,3,5,5,7,2,4,4,5,7,1,5,5,5,6,2,3,6,5,6
BACKGROUND_Google,1,5,4,2,3,1,5,2,3,5,1,5,4,4,5,2,5,3,3,4,3,4,3,5,6,3,5,2,1,5,3,4,4,6,5,5,2,4,5,4,3,4,5,5,4,1,5,3,2,6,2,4,4,4,7,2,6,1,4,6,4,4,4,2,5,2,5,3,5,6,2,4,4,3,6,2,4,4,4,6
watch,0,1,2,1,1,1,2,2,2,2,0,1,0,3,1,0,0,0,0,0,4,3,4,2,4,2,4,3,4,2,3,3,3,6,5,2,4,4,6,4,4,2,3,4,3,3,1,4,3,3,5,2,1,3,4,5,2,3,3,4,0,0,0,1,0,0,4,0,1,1,0,3,3,0,1,0,0,0,0,0
Faces,0,2,0,0,1,1,4,5,3,5,2,4,2,4,4,1,2,0,3,1,2,0,0,2,1,5,3,3,5,2,5,2,4,7,4,5,0,1,1,3,0,0,0,0,0,4,2,2,7,3,6,2,6,4,2,4,0,4,0,0,1,1,0,0,2,2,2,2,7,1,5,3,3,3,3,1,1,1,5,3
wrench,2,2,2,3,2,0,1,0,1,0,0,0,0,0,0,0,2,1,0,1,1,2,3,4,6,3,3,3,6,6,1,3,5,4,5,2,2,3,5,6,0,0,0,0,0,0,1,1,2,2,1,3,5,6,5,3,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,3,5,6,5
BACKGROUND_Google,3,3,5,4,6,2,3,3,3,5,1,4,2,2,4,1,2,0,4,4,5,1,4,3,6,2,3,4,3,6,1,2,2,2,5,3,2,3,4,6,4,3,3,4,6,1,5,4,6,6,4,4,4,7,4,3,1,2,6,7,0,0,0,0,3,0,1,0,0,1,1,0,3,4,5,1,1,6,3,5
Faces,0,5,0,1,1,1,5,6,2,2,4,3,2,4,3,1,2,1,1,1,1,4,1,1,1,6,2,5,5,2,5,3,3,3,4,4,1,0,4,5,4,1,1,1,2,5,1,3,5,4,4,4,5,3,6,3,6,2,4,5,6,1,4,1,2,3,2,6,5,4,2,1,5,4,4,2,3,1,4,3
wheelchair,3,2,3,1,1,0,5,5,2,2,2,0,0,2,1,0,0,0,0,0,3,1,5,3,4,5,1,4,7,4,3,5,4,3,3,1,1,1,3,1,6,1,5,3,3,5,1,3,6,7,2,3,5,5,6,4,2,4,3,3,2,3,3,3,2,2,0,6,3,5,1,2,3,3,5,1,4,3,1,2
airplanes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,0,0,1,1,2,2,2,0,1,0,0,0,1,2,0,0,0,2,3,1,1,1,1,6,4,3,3,1,7,3,5,2,2,6,2,3,2,1,0,0,0,0,0,1,0,1,0,1,5,2,1,1,1,3,2,2,1
schooner,3,2,3,2,0,2,2,1,2,0,2,2,3,1,1,1,2,2,1,0,6,1,4,2,1,5,0,3,4,2,6,0,3,5,3,2,1,1,4,1,5,3,4,2,2,5,2,5,4,2,5,3,4,4,2,2,3,2,6,3,1,6,4,4,1,0,7,4,3,1,0,6,3,2,1,1,4,4,3,2
llama,3,4,4,4,4,3,3,5,4,6,3,3,4,5,6,2,3,4,3,5,3,6,5,4,4,1,4,5,7,3,4,3,3,6,5,4,3,5,5,3,4,4,3,2,4,3,2,3,5,4,3,3,3,5,4,1,5,2,4,2,1,4,5,5,5,1,3,5,6,4,1,6,4,3,4,2,3,4,5,4
saxophone,0,0,0,3,1,3,1,0,2,3,0,0,1,0,1,0,4,2,2,3,0,2,0,0,1,4,0,4,4,2,1,2,0,0,2,0,0,0,0,1,0,1,0,0,0,3,1,4,1,3,6,1,4,6,3,0,0,0,0,0,0,2,0,2,0,5,4,2,2,4,6,1,2,2,3,0,4,1,2,2
